SKU,ListID,MPN,SalesPrice,QuantityOnHand
ESP5V4-C20-06CT,80000DB2-1498773695,LD-FLW-R5050CCT-24-60S,40.75,0
ESP5V4-C65-06CT,800015CE-1601074421,LD-FLW-R5050XX-24-60S,40.75,0
WE-ELB-2048-EXTR,80001470-1576618039,ELB-2048-EXTR,191.5,0
ENO-JD2-288W24V,80001B06-1733498874,MX2-288W-24VDC,227,0
ENO-JD2-192W24V,80001B05-1733498839,MX2-192W-24VDC,178,0
EPS-JBND-150W12V,800017FC-1656364013,KV-12150-ASWJN,160,0
EPS-JBND-150W24V,800017FF-1656365140,KV-24150-ASWJN,160,0
EPS-JBND-300W12V,80001805-1656444168,KV-12300-ASWJN,227,0
EPS-JDA2-384-24,80001A00-1716325524,LMFV-384-24J005,227,4
EPS-JNA-200-24,800019FA-1716325033,LMFV-200-24J000,160,21
EPS-JNA-300-24,800019FB-1716325264,LMFV-300-24J000,160,14
EPS-JBD-200W12V,800017FD-1656364043,KVF-12200-TDWJN,178,0
EPS-JBD5-300W12V,800017FE-1656364234,KVG-12300-DWJ,227,0
EPS-JDA2-192-24,800019FE-1716325437,LMFV-192-24JC005,178,2
EPS-JDA2-288-24,800019FF-1716325481,LMFV-288-24J005,227,8
EPS-JBD-60W12V,800017FA-1656363939,KVF-12060-TDWJN,85,0
EPS-JBD-60W24V,80001801-1656365203,KVF-24060-TDWJN,85,0
EPS-JBD-96W24V,80001802-1656365381,KVF-24096-TDWJN,130,0
WE-FLD2-15W50KKN,80001769-1643130102,FLD2-15W-50K-D-KN,79.99,0
WE-FLD2-15W30KKN,80001768-1643130090,FLD2-15W-30K-D-KN,79.99,1
WE-FLD2-15CW-KN,80001075-1527619290,FLD2-15CW-KN,55.75,0
WE-FLD2-15WW-KN,80001076-1527619314,FLD2-15WW-KN,55.75,0
WE-FLD2-28-WW-KN,80001074-1527618674,FLD2-28-WW-KN,81,0
WE-FLD2-28-CW-KN,80001073-1527618632,FLD2-28-CW-KN,118.25,0
WE-FLS-10W30K-BR,80000F1C-1512168038,FLS-10W-30K-BR,28.25,13
WE-FLS-10W50K-BR,80000F6E-1516392315,FLS-10W-50K-BR,28.25,0
WE-FLV12-12W-30K,80000D62-1495223652,FLV12-12W-30K,5.95,10
WE-FLV12-12W-50K,80000D63-1495224092,FLV12-12W-50K,53.99,0
WE-LF4-12V12W30K,8000161E-1611083195,LF4-12V-12W-30K,80,0
WE-LF4-12V12W50K,8000161F-1611083221,LF4-12V-12W-50K,80,39
SUN-88390,80000CC9-1487612635,88390-SU,4.99,3
SUN-80693,8000162C-1611872880,80693-SU,4.99,0
SUN-80594,80001479-1577719946,80594-SU,4.99,2
SUN-80803,80000CCD-1487613181,80803-SU,9.99,2
SUN-80599,80001679-1619645139,80599-SU,9.99,0
SUN-80725,80000CCE-1487613206,80725-SU,7.5,12
SUN-81120,8000175E-1641509864,81120-SU,11.99,0
SUN-81119,80001431-1571259959,81119-SU,11.99,2
EBU-G9D3.5W30K,80000C02-1472761680,NL-11G9W4/51D,7.5,-3
EBU-G9D3.5W60K,80000C03-1472761720,NL-11G9W4/51D,7.5,4
EBU-CLFT3.5W60K,80000B56-1460565757,CLFCA1035,6.5,7
EBU-CLFT3.5W30K,80000B55-1460565702,CLFCA1035,6.5,3
EBU-CLTO3.5W30K,80000D07-1490304432,CLFB1135,6.5,4
EBU-CLTO3.5W60K,80000D08-1490304617,CLFB1135,6.5,0
EBU-G4ND1.5W30K,80000B58-1460567287,G4-1.5W-24S,6.25,-20
EBU-G4ND1.5W60K,80000A54-1447282248,NL-12G4W20/12D,6.25,52
EMSH4V160D15W60,80001A7E-1723479303,FE15W-P0-G128X830 24V105503235,59.99,140
EMSH4V160D15W30,80001A7D-1723479283,FE15W-P0-G128X830 24V105503235,59.99,13
SUN-80532,80001523-1594128120,80532-SU,9.75,0
SUN-80533,8000155F-1595953316,80533-SU,9.75,0
SUN-80531,80001618-1610636237,80531-SU,9.75,0
SUN-89204,80001619-1610636279,89204,5.25,0
SUN-89206,80001607-1606857982,89206,5.25,0
SUN-80895,800011C1-1547478694,80895-SU,8.5,18
SUN-80897,800011BF-1547478116,80897-SU,8.5,0
SUN-80896,800011C0-1547478651,80896-SU,8.5,0
SUN-88398,8000138E-1565112797,88398-SU,10.5,0
SUN-88395,800011C2-1547478945,88395-SU,10.5,0
SUN-88396,800011C4-1547479116,88396-SU,10.5,0
SUN-88397,800011C3-1547478987,88397-SU,10.5,0
ESB-C100WSF50K,800015F3-1604079685,SBC8-100W-120V-50K,200,0
ESB-C150WSF50K,8000132F-1558648418,SBC8-150W-120V-50K-AM,214.5,0
ESB-C150WSF50K-W,800014DA-1588954390,SBC8-150W-120V-50K-W,214.5,0
ESB-C300WSF50K,80001330-1558648475,SBC8-300W-120V-50K-AM,325.5,0
ESB-C300WSF50K-W,800014E9-1590441941,SBC8-300W-120V-50K-W,325.5,0
ESPS9R4N50W0430,80001956-1692755340,FH10W-P0-G122X93024V240SW04L05,31.25,38
ESPS9R4N50W0460,80001957-1692755371,FH10W-P0-G122X96024V240SW04L05,31.25,11
ESPS9R4N50W0440,80001958-1692756451,FH10W-P0-G122X94024V240SW04L05,31.25,8
EWP-A100W50K,80000E7C-1507298337,WP-100W-120V-50K-SP,143.25,0
EWP-A120W50K,800010FA-1536165752,WP-120W-120V-50K-SP,196.75,0
EWP-A150W50K,8000153D-1594993902,WP-150W-120V-50K-U,178.5,0
EWP-A41W50K,80000ED3-1510156561,WP-41W-120V-50K-SP,106.75,0
EWP-A60W50K,80000BA4-1466625850,WP-60W-120V-50K-SP,113.25,1
EWP-A80W50K,80000E7B-1507298171,WP-80W-120V-50K-SP,123.25,0
EHPB-LAW36D10-5K,80001160-1541518866,CR-100W-120V-50K,103.25,0
EHPB-LAW36D12-5K,80001161-1541518932,CR-120W-120V-50K,113.25,0
EHPB-LAW36D15-5K,800018BD-1678990777,CR-150W-120V-50K,113.25,0
ECNA-LENU-2TO10,800018DC-1684902726,LENU-2to10,7.99,45
ECNA-LENU-2TO6,80001746-1637341537,LENU-2to6,1.99,12
WE-LF12-6W30K-KN,800014F2-1591113811,LF12-6W-30K-KN,83.22,0
WE-LF12-6W50K-KN,800014F1-1591113787,LF12-6W-50K-KN,22.99,37
WE-LFXMD50W3K-KN,8000165D-1617306299,LFX-MD-15-50W-30K-KN,98,0
WE-LFXMD50W5K-KN,8000164C-1614784301,LFX-MD-15-50W-50K-KN,98,8
WE-LFXXS15W5K-KN,8000164B-1614615941,LFX-XS-15W-50K-KN,42.99,4
WE-LFXXS15W3K-KN,80001650-1614895853,LFX-XS-15W-30K-KN,42.99,1
WE-LFXMD50W5K-TR,8000165E-1617307382,LFX-MD-15-50W-50K-TR,98,-1
EAP-RM1-EC-S,80001446-1573513440,HL-BAPL001-EC,1.99,23
EAP-RM2-EC-S,80001447-1573513482,HL-BAPL003-EC,1.99,0
EAP-SM1-EC-S,80001448-1573513632,HL-BAPL002-EC,1.99,41
EAP-SM2-EC-S,80001449-1573513701,HL-BAPL004-EC,1.99,0
